CMDLINE /mnt/data/apps/miniconda3/envs/radar_sort/bin/python3.11 main_pipeline.py --no-skip-existing
MEM 1654.085938 1753852811.4459
MEM 1654.085938 1753852811.5464
MEM 1654.085938 1753852811.6469
MEM 1666.710938 1753852811.7475
MEM 1666.710938 1753852811.8481
MEM 1666.710938 1753852811.9486
MEM 1666.710938 1753852812.0491
MEM 1666.710938 1753852812.1497
MEM 1666.710938 1753852812.2503
MEM 1679.335938 1753852812.3508
MEM 1679.335938 1753852812.4514
MEM 1679.335938 1753852812.5519
MEM 1679.335938 1753852812.6524
MEM 1679.335938 1753852812.7528
MEM 1679.335938 1753852812.8534
MEM 1679.460938 1753852812.9538
MEM 1691.960938 1753852813.0544
MEM 1691.960938 1753852813.1549
MEM 1691.960938 1753852813.2553
MEM 1691.960938 1753852813.3558
MEM 1691.960938 1753852813.4561
MEM 1692.085938 1753852813.5563
MEM 1692.085938 1753852813.6568
MEM 1704.710938 1753852813.7574
MEM 1704.710938 1753852813.8579
